Country;Region;Year;Population;Migrant.Stock;Refugee.Stock
Slovakia;Eastern Europe;2010;5404;146319;461
Ukraine;Eastern Europe;2010;45793;4818767;2522
Channel Islands;Northern Europe;2010;160;77581;0
Denmark;Northern Europe;2010;5555;509740;17922
Estonia;Northern Europe;2010;1332;217890;39
Faeroe Islands;Northern Europe;2010;49;5096;0
Finland;Northern Europe;2010;5366;248135;8724
Iceland;Northern Europe;2010;320;35091;83
Ireland;Northern Europe;2010;4627;730542;9107
Isle of Man;Northern Europe;2010;80;43447;0
Latvia;Northern Europe;2010;2119;313786;68
Lithuania;Northern Europe;2010;3124;160772;803
Norway;Northern Europe;2010;4886;526799;40260
Sweden;Northern Europe;2010;9390;1337214;82629
United Kingdom;Northern Europe;2010;63307;7604583;238150
Albania;Southern Europe;2010;2941;52784;99
Andorra;Southern Europe;2010;84;52053;0
Bosnia and Herzegovina;Southern Europe;2010;3722;38792;7016
Croatia;Southern Europe;2010;4328;573248;863
Gibraltar;Southern Europe;2010;33;10369;0
Greece;Southern Europe;2010;11446;1321149;1444
Holy See;Southern Europe;2010;1;794;0
Italy;Southern Europe;2010;59730;5787898;56397
Malta;Southern Europe;2010;416;33008;6136
Portugal;Southern Europe;2010;10652;762825;384
San Marino;Southern Europe;2010;31;4399;0
Serbia;Southern Europe;2010;9030;826066;73608
Slovenia;Southern Europe;2010;2045;253786;312
Spain;Southern Europe;2010;46789;6280065;3820
TFYR Macedonia;Southern Europe;2010;2071;129701;959
Austria;Western Europe;2010;8410;1275992;42630
Belgium;Western Europe;2010;10939;1119256;17892
France;Western Europe;2010;63027;7196481;200687
Germany;Western Europe;2010;80895;9812263;594269
Liechtenstein;Western Europe;2010;36;22342;92
Luxembourg;Western Europe;2010;508;248888;3254
Monaco;Western Europe;2010;37;21132;0
Netherlands;Western Europe;2010;16683;1832510;74961
Switzerland;Western Europe;2010;7832;2075182;48813
Belarus;Eastern Europe;2015;9486;1082905;3897
Bulgaria;Eastern Europe;2015;7177;133803;26056
Czechia;Eastern Europe;2015;10604;416454;4303
Hungary;Eastern Europe;2015;9784;475508;41087
Poland;Eastern Europe;2015;38265;611855;17368
Republic of Moldova;Eastern Europe;2015;4066;142904;556
Romania;Eastern Europe;2015;19877;281048;3030
Russian Federation;Eastern Europe;2015;143888;11643276;316595
Slovakia;Eastern Europe;2015;5439;177624;1078
Ukraine;Eastern Europe;2015;44658;4915142;9775
Channel Islands;Northern Europe;2015;164;82307;0
Denmark;Northern Europe;2015;5689;595876;42260
Estonia;Northern Europe;2015;1315;194664;254
Faeroe Islands;Northern Europe;2015;49;5517;0
Finland;Northern Europe;2015;5482;314856;37069
Iceland;Northern Europe;2015;330;39072;340
Ireland;Northern Europe;2015;4700;749943;11212
Isle of Man;Northern Europe;2015;83;45221;0
Latvia;Northern Europe;2015;1993;265418;387
Lithuania;Northern Europe;2015;2932;136021;1175
Norway;Northern Europe;2015;5200;746375;75705
Sweden;Northern Europe;2015;9764;1602522;326568
United Kingdom;Northern Europe;2015;65397;8411021;157048
Albania;Southern Europe;2015;2923;52031;934
Andorra;Southern Europe;2015;78;42082;0
Bosnia and Herzegovina;Southern Europe;2015;3536;38574;6798
Croatia;Southern Europe;2015;4236;575738;14645
Gibraltar;Southern Europe;2015;34;11065;0
Greece;Southern Europe;2015;11218;1242924;50979
Holy See;Southern Europe;2015;1;803;0
Italy;Southern Europe;2015;59504;5805325;177193
Malta;Southern Europe;2015;428;42430;7665
Portugal;Southern Europe;2015;10418;864814;1435
San Marino;Southern Europe;2015;33;5174;0
Serbia;Southern Europe;2015;8851;807441;35448
Slovenia;Southern Europe;2015;2075;237616;395
Spain;Southern Europe;2015;46398;5891208;17477
TFYR Macedonia;Southern Europe;2015;2079;130730;718
Austria;Western Europe;2015;8679;1492374;78947
Belgium;Western Europe;2015;11288;1252380;66740
France;Western Europe;2015;64457;7918382;336183
Germany;Western Europe;2015;81708;10220418;736740
Liechtenstein;Western Europe;2015;37;23799;247
Luxembourg;Western Europe;2015;567;260573;3727
